f0301_2,f0304_2,
0,0,0
3,3,0
3,2,1
1,1,0
28,0,28
47,0,47
0,0,0
12,7,5
2,2,0
22,22,0
6,6,0
2,0,2
26,0,26
6,0,6
48,0,48
55,0,55
7,6,1
0,0,0
1,1,0
2,0,2
3,0,3
16,0,16
40,0,40
14,0,14
1,0,1
2,0,2
0,0,0
33,0,33
3,0,3
7,7,0
1,1,0
44,0,44
3,3,0
11,8,3
0,0,0
1,1,0
0,0,0
16,0,16
1,1,0
1,1,0
39,0,39
12,10,2
2,0,2
7,0,7
8,0,8
3,3,0
72,0,72
39,0,39
1,0,1
8,1,7
3,0,3
0,0,0
118,0,118
3,0,3
0,0,0
1,1,0
0,0,0
2,0,2
53,0,53
29,0,29
3,0,3
2,0,2
14,13,1
1,0,1
5,4,1
0,0,0
3,2,1
143,21,122
9,5,4
121,0,121
1,0,1
8,6,2
28,12,16
1,1,0
34,0,34
1,0,1
7,0,7
10,10,0
3,0,3
1,0,1
1,0,1
10,0,10
1,0,1
0,0,0
25,0,25
12,12,0
1,0,1
1,1,0
29,0,29
52,0,52
39,0,39
3,0,3
5,3,2
19,0,19
10,0,10
1,0,1
29,0,29
5,0,5
4,1,3
9,0,9
7,0,7
1,0,1
4,0,4
1,0,1
6,1,5
1,0,1
6,0,6
23,0,23
35,25,10
0,0,0
1,0,1
6,0,6
2,0,2
1,0,1
1,0,1
26,0,26
1,0,1
2,0,2
3,0,3
2,0,2
0,0,0
1,0,1
7,0,7
1,0,1
2,0,2
138,0,138
30,7,23
10,0,10
1,0,1
1,0,1
1,0,1
7,0,7
4,0,4
17,0,17
0,0,0
0,0,0
4,0,4
23,0,23
3,3,0
2,0,2
0,0,0
0,0,0
16,0,16
1,0,1
2,0,2
38,0,38
22,6,16
1,0,1
12,12,0
2,0,2
3,2,1
86,57,29
5,0,5
4,1,3
0,0,0
35,0,35
2,0,2
6,0,6
1,0,1
34,0,34
3,0,3
1,0,1
4,3,1
6,5,1
4,0,4
26,0,26
5,3,2
2,2,0
17,0,17
30,0,30
17,0,17
1,0,1
4,0,4
24,0,24
23,2,21
2,0,2
38,0,38
6,0,6
2,0,2
7,0,7
41,30,11
11,0,11
0,0,0
1,0,1
1,1,0
10,0,10
3,0,3
5,4,1
62,0,62
1,1,0
3,0,3
0,0,0
10,0,10
15,0,15
3,0,3
1,0,1
0,0,0
4,0,4
17,0,17
2,0,2
0,0,0
1,0,1
1,0,1
5,5,0
1,0,1
0,0,0
7,0,7
5,0,5
14,0,14
1,0,1
